260112 21:45:01	1 Connect	user1@localhost on practica using TCP/IP
260112 09:43:29	31 Query	SELECT * FROM ventas
260112 09:45:27	31 Query	DELETE FROM ventas WHERE VNT_CANT = 0
260112 09:47:06	31 Query	SHOW COLUMNS FROM articulos
260112 09:47:13	31 Query	SELECT * FROM clientes
260112 09:48:09	31 Quit	
260112 09:00:01	32 Connect	user32@localhost on practica using TCP/IP
260112 09:01:59	32 Query	SHOW COLUMNS FROM articulos
260112 09:03:37	32 Query	DELETE FROM ventas WHERE VNT_CANT = 0
260112 09:04:14	32 Query	SELECT * FROM proveedores
260112 09:05:17	32 Query	SELECT * FROM proveedores
260112 09:05:45	32 Quit	
260112 08:27:01	33 Connect	user33@localhost on practica using TCP/IP
260112 08:27:16	33 Query	SHOW COLUMNS FROM articulos
260112 08:28:04	33 Query	DELETE FROM ventas WHERE VNT_CANT = 0
260112 08:29:26	33 Query	DELETE FROM ventas WHERE VNT_CANT = 0
260112 08:30:57	33 Query	SHOW COLUMNS FROM articulos
260112 08:31:05	33 Query	SELECT * FROM proveedores
260112 08:31:40	33 Quit	
260112 07:58:01	34 Connect	user34@localhost on practica using TCP/IP
260112 07:59:05	34 Query	SELECT * FROM ventas
260112 08:00:05	34 Query	SELECT * FROM articulos
260112 08:00:57	34 Query	SELECT * FROM proveedores
260112 08:02:14	34 Query	DELETE FROM ventas WHERE VNT_CANT = 0
260112 08:02:33	34 Quit	
260112 07:15:01	35 Connect	user35@localhost on practica using TCP/IP
260112 07:15:17	35 Query	SHOW COLUMNS FROM articulos
260112 07:15:47	35 Query	SELECT * FROM proveedores
260112 07:16:46	35 Query	SELECT * FROM proveedores
260112 07:18:22	35 Query	UPDATE articulos SET ART_PV = ART_PV + 1 WHERE ART_NUM = 101
260112 07:18:45	35 Query	SHOW TABLES
260112 07:19:07	35 Quit	
260112 06:59:01	36 Connect	user36@localhost on practica using TCP/IP
260112 06:59:50	36 Query	SHOW COLUMNS FROM articulos
260112 07:00:28	36 Query	SHOW TABLES
260112 07:01:52	36 Query	SELECT * FROM clientes
260112 07:03:35	36 Query	UPDATE articulos SET ART_PV = ART_PV + 1 WHERE ART_NUM = 101
260112 07:04:25	36 Query	UPDATE articulos SET ART_PV = ART_PV + 1 WHERE ART_NUM = 101
260112 07:04:59	36 Quit	
260112 06:45:01	37 Connect	user37@localhost on practica using TCP/IP
260112 06:46:57	37 Query	DELETE FROM ventas WHERE VNT_CANT = 0
260112 06:47:41	37 Query	SELECT * FROM ventas
260112 06:48:14	37 Query	SHOW COLUMNS FROM articulos
260112 06:49:20	37 Query	SELECT * FROM clientes
260112 06:50:09	37 Quit	
260112 06:36:01	38 Connect	user38@localhost on practica using TCP/IP
260112 06:37:54	38 Query	SELECT * FROM clientes
260112 06:38:32	38 Query	DELETE FROM ventas WHERE VNT_CANT = 0
260112 06:39:23	38 Query	UPDATE articulos SET ART_PV = ART_PV + 1 WHERE ART_NUM = 101
260112 06:41:00	38 Query	UPDATE articulos SET ART_PV = ART_PV + 1 WHERE ART_NUM = 101
260112 06:42:00	38 Quit	
260112 06:22:01	39 Connect	user39@localhost on practica using TCP/IP
260112 06:22:31	39 Query	SELECT * FROM articulos
260112 06:22:47	39 Query	SHOW TABLES
260112 06:24:24	39 Query	UPDATE articulos SET ART_PV = ART_PV + 1 WHERE ART_NUM = 101
260112 06:24:35	39 Query	DELETE FROM ventas WHERE VNT_CANT = 0
260112 06:25:05	39 Quit	
260112 05:50:01	40 Connect	user40@localhost on practica using TCP/IP
260112 05:51:47	40 Query	SELECT * FROM proveedores
260112 05:53:20	40 Query	SELECT * FROM ventas
260112 05:55:16	40 Query	SELECT * FROM articulos
260112 05:57:00	40 Query	SELECT * FROM proveedores
260112 05:58:32	40 Query	SELECT * FROM articulos
260112 05:59:25	40 Quit	
260112 05:05:01	41 Connect	user41@localhost on practica using TCP/IP
260112 05:05:53	41 Query	SHOW COLUMNS FROM articulos
260112 05:07:25	41 Query	SELECT * FROM ventas
260112 05:09:20	41 Query	SELECT * FROM clientes
260112 05:09:36	41 Query	UPDATE articulos SET ART_PV = ART_PV + 1 WHERE ART_NUM = 101
260112 05:10:09	41 Quit	
260112 04:33:01	42 Connect	user42@localhost on practica using TCP/IP
260112 04:34:18	42 Query	SELECT * FROM proveedores
260112 04:35:15	42 Query	SELECT * FROM proveedores
260112 04:36:04	42 Query	UPDATE articulos SET ART_PV = ART_PV + 1 WHERE ART_NUM = 101
260112 04:37:02	42 Query	SELECT * FROM articulos
260112 04:39:01	42 Query	DELETE FROM ventas WHERE VNT_CANT = 0
260112 04:39:32	42 Quit	
260112 04:28:01	43 Connect	user43@localhost on practica using TCP/IP
260112 04:29:00	43 Query	UPDATE articulos SET ART_PV = ART_PV + 1 WHERE ART_NUM = 101
260112 04:30:10	43 Query	SELECT * FROM ventas
260112 04:31:09	43 Query	SELECT * FROM proveedores
260112 04:31:58	43 Quit	
260112 04:23:01	44 Connect	user44@localhost on practica using TCP/IP
260112 04:24:04	44 Query	SHOW TABLES
260112 04:24:21	44 Query	DELETE FROM ventas WHERE VNT_CANT = 0
260112 04:25:40	44 Query	SELECT * FROM ventas
260112 04:27:15	44 Query	UPDATE articulos SET ART_PV = ART_PV + 1 WHERE ART_NUM = 101
260112 04:27:45	44 Query	SHOW COLUMNS FROM articulos
260112 04:28:28	44 Quit	
260112 03:52:01	45 Connect	user45@localhost on practica using TCP/IP
260112 03:53:41	45 Query	UPDATE articulos SET ART_PV = ART_PV + 1 WHERE ART_NUM = 101
260112 03:54:56	45 Query	SELECT * FROM articulos
260112 03:56:35	45 Query	SHOW TABLES
260112 03:58:15	45 Query	DELETE FROM ventas WHERE VNT_CANT = 0
260112 03:59:32	45 Query	SHOW TABLES
260112 04:00:10	45 Quit	
260112 03:19:01	46 Connect	user46@localhost on practica using TCP/IP
260112 03:20:35	46 Query	SELECT * FROM clientes
260112 03:22:15	46 Query	UPDATE articulos SET ART_PV = ART_PV + 1 WHERE ART_NUM = 101
260112 03:23:28	46 Query	UPDATE articulos SET ART_PV = ART_PV + 1 WHERE ART_NUM = 101
260112 03:25:12	46 Query	SELECT * FROM proveedores
260112 03:25:39	46 Quit	
260112 03:13:01	47 Connect	user47@localhost on practica using TCP/IP
260112 03:13:59	47 Query	SHOW TABLES
260112 03:15:14	47 Query	UPDATE articulos SET ART_PV = ART_PV + 1 WHERE ART_NUM = 101
260112 03:16:28	47 Query	SHOW COLUMNS FROM articulos
260112 03:17:33	47 Query	SELECT * FROM ventas
260112 03:18:30	47 Query	SELECT * FROM clientes
260112 03:18:39	47 Quit	
260112 02:34:01	48 Connect	user48@localhost on practica using TCP/IP
260112 02:35:48	48 Query	UPDATE articulos SET ART_PV = ART_PV + 1 WHERE ART_NUM = 101
260112 02:36:03	48 Query	SELECT * FROM proveedores
260112 02:37:26	48 Query	SHOW TABLES
260112 02:39:15	48 Query	SELECT * FROM articulos
260112 02:41:12	48 Query	SHOW COLUMNS FROM articulos
260112 02:42:06	48 Quit	
260112 02:00:01	49 Connect	user49@localhost on practica using TCP/IP
260112 02:00:34	49 Query	DELETE FROM ventas WHERE VNT_CANT = 0
260112 02:01:21	49 Query	UPDATE articulos SET ART_PV = ART_PV + 1 WHERE ART_NUM = 101
260112 02:02:27	49 Query	SELECT * FROM clientes
260112 02:02:38	49 Query	UPDATE articulos SET ART_PV = ART_PV + 1 WHERE ART_NUM = 101
260112 02:03:30	49 Quit	
260112 01:51:01	50 Connect	user50@localhost on practica using TCP/IP
260112 01:51:42	50 Query	SELECT * FROM ventas
260112 01:53:30	50 Query	DELETE FROM ventas WHERE VNT_CANT = 0
260112 01:53:47	50 Query	DELETE FROM ventas WHERE VNT_CANT = 0
260112 01:55:32	50 Query	UPDATE articulos SET ART_PV = ART_PV + 1 WHERE ART_NUM = 101
260112 01:56:31	50 Quit	
260112 01:29:01	51 Connect	user51@localhost on practica using TCP/IP
260112 01:30:48	51 Query	SHOW COLUMNS FROM articulos
260112 01:32:02	51 Query	UPDATE articulos SET ART_PV = ART_PV + 1 WHERE ART_NUM = 101
260112 01:33:03	51 Query	SELECT * FROM proveedores
260112 01:33:57	51 Query	SHOW COLUMNS FROM articulos
260112 01:34:10	51 Quit	
260112 00:57:01	52 Connect	user52@localhost on practica using TCP/IP
260112 00:57:30	52 Query	SHOW COLUMNS FROM articulos
260112 00:59:08	52 Query	SELECT * FROM proveedores
260112 01:00:50	52 Query	SHOW TABLES
260112 01:02:48	52 Query	SELECT * FROM ventas
260112 01:03:26	52 Query	SELECT * FROM articulos
260112 01:05:12	52 Query	SHOW COLUMNS FROM articulos
260112 01:05:21	52 Quit	
260112 00:43:01	53 Connect	user53@localhost on practica using TCP/IP
260112 00:44:00	53 Query	SHOW TABLES
260112 00:44:42	53 Query	SHOW COLUMNS FROM articulos
260112 00:45:24	53 Query	SHOW COLUMNS FROM articulos
260112 00:45:30	53 Query	DELETE FROM ventas WHERE VNT_CANT = 0
260112 00:46:04	53 Quit	
260111 23:59:01	54 Connect	user54@localhost on practica using TCP/IP
260112 00:00:28	54 Query	DELETE FROM ventas WHERE VNT_CANT = 0
260112 00:01:41	54 Query	UPDATE articulos SET ART_PV = ART_PV + 1 WHERE ART_NUM = 101
260112 00:02:12	54 Quit	
260111 23:38:01	55 Connect	user55@localhost on practica using TCP/IP
260111 23:39:49	55 Query	SELECT * FROM articulos
260111 23:41:45	55 Query	SHOW COLUMNS FROM articulos
260111 23:42:10	55 Query	SELECT * FROM articulos
260111 23:42:40	55 Query	SHOW COLUMNS FROM articulos
260111 23:42:46	55 Query	SELECT * FROM ventas
260111 23:43:27	55 Quit	
260111 23:30:01	56 Connect	user56@localhost on practica using TCP/IP
260111 23:30:20	56 Query	SELECT * FROM proveedores
260111 23:32:08	56 Query	SELECT * FROM proveedores
260111 23:33:53	56 Query	UPDATE articulos SET ART_PV = ART_PV + 1 WHERE ART_NUM = 101
260111 23:35:39	56 Query	SHOW COLUMNS FROM articulos
260111 23:36:15	56 Quit	
260111 22:49:01	57 Connect	user57@localhost on practica using TCP/IP
260111 22:50:59	57 Query	DELETE FROM ventas WHERE VNT_CANT = 0
260111 22:51:06	57 Query	SELECT * FROM clientes
260111 22:52:32	57 Query	SELECT * FROM articulos
260111 22:52:46	57 Query	SELECT * FROM ventas
260111 22:53:03	57 Query	SHOW TABLES
260111 22:53:51	57 Quit	
260111 22:14:01	58 Connect	user58@localhost on practica using TCP/IP
260111 22:15:37	58 Query	SELECT * FROM articulos
260111 22:16:15	58 Query	SELECT * FROM ventas
260111 22:17:22	58 Query	SELECT * FROM proveedores
260111 22:19:08	58 Query	SELECT * FROM proveedores
260111 22:19:28	58 Quit	
260111 21:49:01	59 Connect	user59@localhost on practica using TCP/IP
260111 21:49:54	59 Query	SELECT * FROM articulos
260111 21:51:07	59 Query	UPDATE articulos SET ART_PV = ART_PV + 1 WHERE ART_NUM = 101
260111 21:53:03	59 Query	SHOW TABLES
260111 21:53:24	59 Query	SELECT * FROM clientes
260111 21:53:44	59 Quit	
260111 21:35:01	60 Connect	user60@localhost on practica using TCP/IP
260111 21:36:51	60 Query	SELECT * FROM clientes
260111 21:37:07	60 Query	DELETE FROM ventas WHERE VNT_CANT = 0
260111 21:38:13	60 Query	DELETE FROM ventas WHERE VNT_CANT = 0
260111 21:38:37	60 Query	DELETE FROM ventas WHERE VNT_CANT = 0
260111 21:39:59	60 Query	UPDATE articulos SET ART_PV = ART_PV + 1 WHERE ART_NUM = 101
260111 21:41:04	60 Query	UPDATE articulos SET ART_PV = ART_PV + 1 WHERE ART_NUM = 101
260111 21:41:59	60 Quit	
260111 21:01:01	61 Connect	user61@localhost on practica using TCP/IP
260111 21:01:06	61 Query	SELECT * FROM ventas
260111 21:02:45	61 Query	SHOW TABLES
260111 21:04:00	61 Query	SHOW TABLES
260111 21:04:18	61 Query	SELECT * FROM ventas
260111 21:04:24	61 Quit	
260111 20:42:01	62 Connect	user62@localhost on practica using TCP/IP
260111 20:42:40	62 Query	SELECT * FROM proveedores
260111 20:43:52	62 Query	SELECT * FROM articulos
260111 20:44:22	62 Quit	
260111 20:22:01	63 Connect	user63@localhost on practica using TCP/IP
260111 20:23:38	63 Query	SELECT * FROM ventas
260111 20:24:00	63 Query	SHOW COLUMNS FROM articulos
260111 20:24:27	63 Query	SELECT * FROM clientes
260111 20:26:20	63 Query	SHOW COLUMNS FROM articulos
260111 20:27:04	63 Quit	
260111 19:38:01	64 Connect	user64@localhost on practica using TCP/IP
260111 19:38:09	64 Query	SELECT * FROM proveedores
260111 19:40:08	64 Query	SELECT * FROM ventas
260111 19:40:25	64 Query	SELECT * FROM articulos
260111 19:42:24	64 Query	SELECT * FROM clientes
260111 19:43:37	64 Query	SELECT * FROM proveedores
260111 19:44:05	64 Query	SELECT * FROM ventas
260111 19:45:02	64 Quit	
260111 18:53:01	65 Connect	user65@localhost on practica using TCP/IP
260111 18:53:41	65 Query	SELECT * FROM clientes
260111 18:55:29	65 Query	SHOW TABLES
260111 18:56:40	65 Query	SELECT * FROM articulos
260111 18:57:21	65 Query	SELECT * FROM articulos
260111 18:58:36	65 Query	SELECT * FROM ventas
260111 18:59:17	65 Quit	
260111 18:27:01	66 Connect	user66@localhost on practica using TCP/IP
260111 18:28:35	66 Query	DELETE FROM ventas WHERE VNT_CANT = 0
260111 18:29:39	66 Query	SHOW TABLES
260111 18:30:26	66 Query	SELECT * FROM clientes
260111 18:31:20	66 Query	SELECT * FROM articulos
260111 18:32:38	66 Query	UPDATE articulos SET ART_PV = ART_PV + 1 WHERE ART_NUM = 101
260111 18:33:04	66 Query	SHOW COLUMNS FROM articulos
260111 18:34:13	66 Query	SELECT * FROM articulos
260111 18:34:26	66 Quit	
260111 18:05:01	67 Connect	user67@localhost on practica using TCP/IP
260111 18:06:47	67 Query	SELECT * FROM articulos
260111 18:07:42	67 Query	SELECT * FROM proveedores
260111 18:09:35	67 Query	SELECT * FROM articulos
260111 18:10:51	67 Query	UPDATE articulos SET ART_PV = ART_PV + 1 WHERE ART_NUM = 101
260111 18:11:02	67 Quit	
260111 17:46:01	68 Connect	user68@localhost on practica using TCP/IP
260111 17:46:42	68 Query	SHOW TABLES
260111 17:47:23	68 Query	SELECT * FROM articulos
260111 17:47:35	68 Query	SHOW COLUMNS FROM articulos
260111 17:49:15	68 Query	UPDATE articulos SET ART_PV = ART_PV + 1 WHERE ART_NUM = 101
260111 17:49:36	68 Quit	
260111 17:36:01	69 Connect	user69@localhost on practica using TCP/IP
260111 17:36:59	69 Query	SELECT * FROM proveedores
260111 17:38:58	69 Query	SHOW TABLES
260111 17:40:35	69 Query	SELECT * FROM articulos
260111 17:41:40	69 Query	SHOW TABLES
260111 17:42:39	69 Quit	
260111 16:53:01	70 Connect	user70@localhost on practica using TCP/IP
260111 16:53:34	70 Query	SELECT * FROM ventas
260111 16:54:12	70 Query	SHOW TABLES
260111 16:54:43	70 Query	SHOW COLUMNS FROM articulos
260111 16:55:32	70 Query	DELETE FROM ventas WHERE VNT_CANT = 0
260111 16:56:53	70 Query	UPDATE articulos SET ART_PV = ART_PV + 1 WHERE ART_NUM = 101
260111 16:57:24	70 Quit	
260111 16:46:01	71 Connect	user71@localhost on practica using TCP/IP
260111 16:46:20	71 Query	SELECT * FROM proveedores
260111 16:48:13	71 Query	SELECT * FROM clientes
260111 16:49:21	71 Query	SHOW TABLES
260111 16:50:16	71 Query	SELECT * FROM proveedores
260111 16:50:53	71 Query	SELECT * FROM ventas
260111 16:51:48	71 Quit	
260111 16:22:01	72 Connect	user72@localhost on practica using TCP/IP
260111 16:22:21	72 Query	SELECT * FROM ventas
260111 16:24:15	72 Query	UPDATE articulos SET ART_PV = ART_PV + 1 WHERE ART_NUM = 101
260111 16:24:23	72 Query	SELECT * FROM articulos
260111 16:24:44	72 Query	SHOW COLUMNS FROM articulos
260111 16:25:37	72 Query	SELECT * FROM ventas
260111 16:26:33	72 Quit	
260111 15:39:01	73 Connect	user73@localhost on practica using TCP/IP
260111 15:40:33	73 Query	SELECT * FROM clientes
260111 15:41:03	73 Query	SELECT * FROM clientes
260111 15:41:20	73 Query	SELECT * FROM clientes
260111 15:42:35	73 Query	SELECT * FROM ventas
260111 15:42:46	73 Quit	
260111 15:26:01	74 Connect	user74@localhost on practica using TCP/IP
260111 15:27:24	74 Query	DELETE FROM ventas WHERE VNT_CANT = 0
260111 15:29:12	74 Query	DELETE FROM ventas WHERE VNT_CANT = 0
260111 15:30:52	74 Query	SELECT * FROM clientes
260111 15:32:23	74 Query	SELECT * FROM clientes
260111 15:33:02	74 Query	SELECT * FROM articulos
260111 15:33:15	74 Quit	
260111 15:13:01	75 Connect	user75@localhost on practica using TCP/IP
260111 15:14:39	75 Query	SELECT * FROM proveedores
260111 15:15:33	75 Query	SELECT * FROM articulos
